iter	Passed	Remaining
145	186	1093
146	187	1087
147	187	1081
148	188	1075
149	188	1069
150	189	1063
151	189	1057
152	189	1051
153	190	1046
154	190	1040
155	191	1035
156	191	1029
157	192	1024
158	192	1019
159	193	1013
160	193	1007
161	193	1002
162	194	997
163	194	992
164	195	987
165	195	982
166	196	977
167	196	972
168	196	968
169	197	963
170	197	958
171	198	954
172	198	949
173	199	945
174	199	940
175	200	936
176	200	932
177	200	927
178	201	923
179	201	919
180	202	915
181	202	911
182	203	907
183	203	903
184	204	899
185	204	895
186	205	891
187	205	887
188	205	883
189	206	879
190	206	876
191	207	872
192	207	868
193	208	864
194	208	861
195	209	857
196	209	854
197	209	850
198	210	847
199	210	843
200	211	840
201	211	836
202	212	833
203	212	830
204	213	826
205	213	823
206	214	820
207	214	816
208	214	813
209	215	810
210	215	806
211	216	803
212	216	800
213	217	797
214	217	794
215	218	791
216	218	788
217	218	785
218	219	782
219	219	779
220	220	776
221	220	773
222	221	770
223	221	767
224	221	764
225	222	761
226	222	758
227	223	756
228	223	753
229	224	750
230	224	747
231	225	745
232	225	742
233	225	739
234	226	737
235	226	734
236	227	731
237	227	728
238	228	726
239	228	723
240	228	721
241	229	718
242	229	716
243	230	713
244	230	711
245	231	708
246	231	706
247	232	703
248	232	701
249	232	698
250	233	696
251	233	693
252	234	691
253	234	689
254	235	686
255	235	684
256	236	682
257	236	680
258	236	677
259	237	675
260	237	673
261	238	671
262	238	668
263	239	666
264	239	664
265	239	662
266	240	659
267	240	657
268	241	655
269	241	653
270	242	651
271	242	649
272	242	647
273	243	644
274	243	642
275	244	640
276	244	638
277	245	636
278	245	634
279	246	632
280	246	630
281	246	628
282	247	626
283	247	624
284	248	622
285	248	620
286	249	619
287	249	617
288	250	615
289	250	613
290	250	611
291	251	609
292	251	607
293	252	605
294	252	603
295	253	602
296	253	600
297	254	598
298	254	596
299	254	594
300	255	593
301	255	591
302	256	589
303	256	587
304	257	586
305	257	584
306	258	582
307	258	580
308	258	579
309	259	577
310	259	575
311	260	573
312	260	572
313	261	570
314	261	568
315	262	567
316	262	565
317	262	563
318	263	562
319	263	560
320	264	558
321	264	557
322	265	555
323	265	554
324	266	552
325	266	550
326	266	549
327	267	547
328	267	546
329	268	544
330	268	543
331	269	541
332	269	539
333	269	538
334	270	536
335	270	535
336	271	533
337	271	532
338	272	530
339	272	529
340	273	527
341	273	526
342	274	525
343	274	523
344	274	522
345	275	520
346	275	519
347	276	517
348	276	516
349	277	514
350	277	513
351	277	511
352	278	510
353	278	508
354	279	507
355	279	506
356	280	504
357	280	503
358	281	501
359	281	500
360	281	499
361	282	497
362	282	496
363	283	494
364	283	493
365	284	492
366	284	490
367	285	489
368	285	488
369	285	486
370	286	485
371	286	484
372	287	482
373	287	481
374	288	480
375	288	478
376	288	477
377	289	476
378	289	474
379	290	473
380	290	472
381	291	471
382	291	470
383	292	469
384	292	467
385	293	466
386	293	465
387	294	464
388	294	462
389	295	461
390	295	460
391	295	459
392	296	457
393	296	456
394	297	455
395	297	454
396	298	452
397	298	451
398	299	450
399	299	449
400	299	448
401	300	446
402	300	445
403	301	444
404	301	443
405	302	442
406	302	440
407	303	439
408	303	438
409	303	437
410	304	436
411	304	435
412	305	433
413	305	432
414	306	431
415	306	430
416	306	429
417	307	428
418	307	426
419	308	425
420	308	424
421	309	423
422	309	422
423	310	421
424	310	420
425	311	419
426	311	418
427	311	416
428	312	415
429	312	414
430	313	413
431	313	412
432	314	411
433	314	410
434	315	409
435	315	408
436	316	407
437	316	406
438	316	405
439	317	403
440	317	402
441	318	401
442	318	400
443	319	399
444	319	398
445	320	397
446	320	396
447	320	395
448	321	394
449	321	393
450	322	392
451	322	391
452	323	390
453	323	389
454	324	388
455	324	387
456	324	386
457	325	385
458	325	383
459	326	382
460	326	381
461	327	380
462	327	379
463	327	378
464	328	377
465	328	376
466	329	375
467	329	374
468	330	373
469	330	372
470	331	371
471	331	370
472	332	369
473	332	368
474	332	367
475	333	366
476	333	365
477	334	364
478	334	363
479	335	362
480	335	362
481	335	361
482	336	360
483	336	359
484	337	358
485	337	357
486	338	356
487	338	355
488	339	354
489	339	353
490	339	352
491	340	351
492	340	350
493	341	349
494	341	348
495	342	347
496	342	346
497	342	345
498	343	344
499	343	343
500	344	342
501	344	341
502	345	341
503	345	340
504	346	339
505	346	338
506	346	337
507	347	336
508	347	335
509	348	334
510	348	333
511	349	332
512	349	331
513	350	331
514	350	330
515	350	329
516	351	328
517	351	327
518	352	326
519	352	325
520	353	324
521	353	323
522	354	322
523	354	322
524	354	321
525	355	320
526	355	319
527	356	318
528	356	317
529	357	316
530	357	315
531	357	314
532	358	314
533	358	313
534	359	312
535	359	311
536	360	310
537	360	309
538	361	308
539	361	307
540	361	307
541	362	306
542	362	305
543	363	304
544	363	303
545	364	302
546	364	301
547	365	301
548	365	300
549	365	299
550	366	298
551	366	297
552	367	296
553	367	296
554	368	295
555	368	294
556	369	293
557	369	292
558	369	291
559	370	290
560	370	290
561	371	289
562	371	288
563	372	287
564	372	286
565	372	285
566	373	285
567	373	284
568	374	283
569	374	282
570	375	281
571	375	281
572	376	280
573	376	279
574	376	278
575	377	277
576	377	276
577	378	276
578	378	275
579	379	274
580	379	273
581	380	272
582	380	272
583	380	271
584	381	270
585	381	269
586	382	268
587	382	268
588	383	267
589	383	266
590	384	265
591	384	265
592	385	264
593	385	263
594	385	262
595	386	261
596	386	261
597	387	260
598	387	259
599	388	258
600	388	257
601	388	257
602	389	256
603	389	255
604	390	254
605	390	254
606	391	253
607	391	252
608	392	251
609	392	250
610	392	250
611	393	249
612	393	248
613	394	247
614	394	247
615	395	246
616	395	245
617	396	244
618	396	244
619	397	243
620	397	242
621	398	242
622	398	241
623	399	240
624	399	239
625	400	239
626	400	238
627	400	237
628	401	236
629	401	236
630	402	235
631	402	234
632	403	233
633	403	233
634	404	232
635	404	231
636	405	230
637	405	230
638	406	229
639	406	228
640	406	227
641	407	227
642	407	226
643	408	225
644	408	224
645	409	224
646	409	223
647	410	222
648	410	222
649	410	221
650	411	220
651	411	219
652	412	219
653	412	218
654	413	217
655	413	216
656	413	216
657	414	215
658	414	214
659	415	213
660	415	213
661	416	212
662	416	211
663	417	211
664	417	210
665	418	209
666	418	208
667	418	208
668	419	207
669	419	206
670	420	206
671	420	205
672	421	204
673	421	203
674	422	203
675	422	202
676	423	201
677	423	201
678	424	200
679	424	199
680	424	199
681	425	198
682	425	197
683	426	196
684	426	196
685	427	195
686	427	194
687	428	194
688	428	193
689	428	192
690	429	192
691	429	191
692	430	190
693	430	189
694	431	189
695	431	188
696	432	187
697	432	187
698	432	186
699	433	185
700	433	185
701	434	184
702	434	183
703	435	182
704	435	182
705	436	181
706	436	180
707	436	180
708	437	179
709	437	178
710	438	178
711	438	177
712	439	176
713	439	176
714	440	175
715	440	174
716	441	174
717	441	173
718	441	172
719	442	172
720	442	171
721	443	170
722	443	170
723	444	169
724	444	168
725	445	168
726	445	167
727	446	166
728	446	166
729	447	165
730	447	164
731	447	164
732	448	163
733	448	162
734	449	161
735	449	161
736	450	160
737	450	159
738	451	159
739	451	158
740	452	157
741	452	157
742	452	156
743	453	156
744	453	155
745	454	154
746	454	154
747	455	153
748	455	152
749	456	152
750	456	151
751	457	150
752	457	150
753	458	149
754	458	148
755	459	148
756	459	147
757	460	146
758	460	146
759	461	145
760	461	145
761	462	144
762	462	143
763	463	143
764	463	142
765	464	141
766	465	141
767	465	140
768	466	140
769	466	139
770	467	138
771	467	138
772	468	137
773	468	136
774	469	136
775	469	135
776	470	135
777	471	134
778	471	133
779	472	133
780	472	132
781	473	131
782	473	131
783	474	130
784	474	129
785	475	129
786	475	128
787	475	128
788	476	127
789	476	126
790	477	126
791	477	125
792	478	124
793	478	124
794	479	123
795	479	122
796	480	122
797	480	121
798	481	121
799	481	120
800	482	119
801	482	119
802	483	118
803	483	117
804	484	117
805	484	116
806	485	116
807	485	115
808	486	114
809	486	114
810	487	113
811	487	112
812	487	112
813	488	111
814	488	110
815	490	110
816	490	109
817	491	109
818	491	108
819	492	108
820	492	107
821	492	106
822	493	106
823	493	105
824	494	104
825	494	104
826	495	103
827	495	103
828	496	102
829	496	101
830	497	101
831	497	100
832	498	99
833	498	99
834	499	98
835	499	98
836	500	97
837	500	96
838	501	96
839	501	95
840	502	94
841	502	94
842	503	93
843	503	93
844	504	92
845	504	91
846	505	91
847	505	90
848	506	90
849	506	89
850	507	88
851	507	88
852	508	87
853	508	86
854	509	86
855	509	85
856	510	85
857	510	84
858	511	83
859	512	83
860	512	82
861	513	82
862	513	81
863	514	80
864	514	80
865	515	79
866	515	79
867	515	78
868	516	77
869	516	77
870	517	76
871	517	76
872	518	75
873	518	74
874	519	74
875	519	73
876	521	73
877	521	72
878	522	71
879	522	71
880	523	70
881	524	70
882	524	69
883	525	68
884	525	68
885	526	67
886	526	67
887	527	66
888	527	65
889	528	65
890	528	64
891	529	64
892	529	63
893	530	62
894	530	62
895	531	61
896	531	61
897	532	60
898	532	59
899	533	59
900	533	58
901	534	58
902	534	57
903	535	56
904	535	56
905	536	55
906	536	55
907	537	54
908	537	53
909	538	53
910	538	52
911	539	52
912	539	51
913	540	50
914	540	50
915	541	49
916	541	49
917	542	48
918	542	47
919	543	47
920	543	46
921	544	46
922	544	45
923	544	44
924	545	44
925	545	43
926	546	43
927	546	42
928	547	41
929	547	41
930	548	40
931	548	40
932	549	39
933	549	38
934	550	38
935	550	37
936	551	37
937	551	36
938	552	35
939	552	35
940	553	34
941	553	34
942	554	33
943	554	32
944	555	32
945	555	31
946	556	31
947	556	30
948	557	29
949	557	29
950	558	28
951	558	28
952	559	27
953	559	27
954	560	26
955	560	25
956	561	25
957	561	24
958	562	24
959	562	23
960	563	22
961	563	22
962	564	21
963	564	21
964	565	20
965	565	19
966	566	19
967	566	18
968	567	18
969	567	17
970	568	16
971	568	16
972	569	15
973	569	15
974	569	14
975	570	14
976	571	13
977	571	12
978	571	12
979	572	11
980	572	11
981	573	10
982	573	9
983	574	9
984	574	8
985	575	8
986	575	7
987	576	6
988	576	6
989	577	5
990	577	5
991	578	4
992	578	4
993	579	3
994	579	2
995	580	2
996	580	1
997	581	1
998	581	0
999	581	0
